source,label,subclass,group_id,file,origin_file
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0116.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0116.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0206.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0206.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0296.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0296.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0386.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0386.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0476.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0476.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0566.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0566.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0656.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0656.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0746.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0746.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0836.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0836.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141710,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0926.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141710__0926.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141945,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0068.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0068.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141945,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0154.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0154.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141945,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0240.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0240.jpg
recordings_aux,non_UXO,cylinder,2023-09-21_141945,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_combined_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0326.jpg,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\non_UXO\cylinder\test_cylinder__2023-09-21_141945__0326.jpg
